Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
1,,102.644,,,,,,71.524,,,66.912,,,35.21,,,77.688,,,178.182,,78.064,124.176,,84.956,64.281,,86.582,,126.377,,,,,,,57.201,,,,,62.091,94.861,74.447,,65.164,,,,90.001,,85.861,,,,,80.856,76.329,,,,,163.753,,,,,,,,,,
2,,57.847,,,,,,63.493,,,68.666,42.979,,63.404,,,89.216,,,143.347,,94.604,116.407,,91.847,91.221,,72.905,,154.042,,,122.093,,,,36.628,101.23,,,,143.437,76.14,164.071,,74.76,,78.084,68.332,107.844,,72.095,58.171,,87.586,,112.796,140.209,,,102.142,,191.61,,,,,,,103.237,,,53.939
3,,50.067,,,,,,114.062,75.665,,70.421,51.5,,106.383,59.895,,66.536,,,120.667,,102.373,140.34,,76.31,93.1,,83.445,121.34,95.946,,,158.483,,111.302,,40.517,49.298,,,,79.621,86.206,73.506,,86.959,57.575,76.328,48.011,54.784,72.471,89.029,73.161,60.335,70.395,,91.545,71.173,,85.578,125.481,,189.602,,,116.07,,56.323,55.57,140.869,,,44.907
4,,70.52,,,,,,92.354,60.105,,74.305,46.989,91.973,45.36,54.256,,42.979,,,120.291,75.182,78.816,115.78,,138.335,120.166,,76.418,154.593,85.383,,,133.135,62.615,90.221,,39.263,34.621,,,,82.098,104.583,91.6,105.9,103.015,59.865,95.74,82.13,66.795,68.802,62.311,100.412,54.314,116.572,,132.79,75.323,,62.992,132.132,71.901,198.135,,,120.587,98.345,75.515,81.536,111.391,85.299,75.515,47.667
5,,56.968,,,,,,57.847,48.561,,67.664,48.117,84.455,48.868,77.688,,54.382,,,143.598,55.134,66.035,80.32,,79.568,106.383,,79.806,168.145,126.88,,98.126,72.026,46.052,102.769,,35.249,46.664,,,,94.422,95.959,76.14,114.116,111.984,76.861,114.022,75.042,101.29,70.339,73.725,94.391,169.026,108.29,,248.101,83.12,,103.898,131.002,77.673,114.062,,103.773,132.132,118.29,86.679,76.518,119.293,94.205,73.257,32.991
6,,61.737,,,,,,55.463,66.003,,99.867,53.88,61.148,64.406,76.811,78.816,29.196,,,127.684,59.394,114.151,103.626,93.727,100.995,118.161,,83.947,108.165,141.467,93.179,123.599,69.266,63.242,79.931,,56.699,116.032,,,,94.924,105.179,83.666,119.949,142.716,71.938,70.37,61.276,99.001,107.844,67.61,115.59,148.768,112.557,,210.88,85.132,,99.632,106.032,89.719,247.072,120.713,109.921,239.794,123.558,139.615,66.734,108.756,103.99,93.453,41.144
7,112.682,48.436,,,,,,77.547,75.289,,101.245,56.261,127.81,51.374,84.455,81.071,44.984,58.642,97.235,107.385,66.035,92.474,124.301,100.493,216.65,118.537,,103.02,106.533,166.616,77.964,120.336,125.23,61.36,95.617,,86.303,25.088,116.876,,,130.768,99.001,79.495,126.597,60.116,120.701,64.129,73.286,105.429,73.38,77.583,99.816,159.336,110.925,87.267,241.94,103.239,,104.4,133.512,90.095,220.721,101.389,86.833,109.921,83.167,73.884,75.766,104.115,94.707,106.122,46.915
8,75.54,42.664,,,,46.303,,66.003,97.75,,110.894,54.256,130.441,50.497,87.211,67.163,42.227,66.411,109.641,114.527,71.172,94.604,138.335,106.132,72.551,79.192,,103.647,119.333,184.724,87.269,123.599,93.985,64.372,88.715,,77.396,44.907,107.186,82.976,217.789,127.381,75.105,80.75,84.607,73.098,129.074,55.694,65.196,89.06,69.429,55.035,145.005,114.524,130.124,86.389,266.838,118.329,,126.108,165.133,60.733,206.291,101.138,107.412,154.718,114.025,84.672,90.066,263.549,94.833,135.35,44.029
9,72.152,57.596,52.451,46.401,56.09,44.42,,70.395,51.824,,104.754,48.367,80.821,125.93,60.396,54.256,55.885,109.515,120.041,106.633,84.204,95.732,134.827,48.743,68.165,84.83,,103.647,71.775,136.814,76.455,117.074,72.152,69.391,146.813,,81.16,48.796,107.687,88.464,131.74,139.266,267.023,81.346,107.813,146.886,103.642,66.889,60.931,98.248,120.012,57.136,85.14,153.848,151.205,88.897,286.58,261.305,,124.101,187.594,72.277,220.219,121.591,313.452,170.027,122.178,97.843,101.481,144.381,98.972,78.902,68.867
10,74.787,48.812,58.223,39.485,59.102,43.542,,48.185,59.353,52.559,86.083,69.042,46.237,54.006,45.235,68.29,80.445,83.327,50.121,200.861,71.423,131.569,53.254,62.151,101.371,83.076,,113.937,80.81,132.413,96.072,63.744,79.43,73.03,140.539,127.865,88.435,78.776,179.406,91.13,118.381,156.89,126.973,86.677,129.701,78.398,112.799,96.304,70.056,91.914,116.405,77.238,89.123,130.36,159.486,124.631,286.58,133.922,,111.302,167.141,73.532,144.68,98.754,107.788,119.834,156.173,118.039,104.617,204.843,99.474,73.633,69.87
