Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,WT-28,WT-29,WT-30,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,BC-28,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
1,,,110.172,,,,,,,,,,105.13,,,,76.811,,,,,,,92.85,121.92,,,,145.728,,178.811,,,,,,,,,,,,,,,108.691,,125.092,,,,,129.168,62.436,,86.614,73.098,118.224,137.276,,224.335,,,,,92.981,133.386,,,,,,,,,,
2,,,184.834,,,,113.184,,,,,,166.278,,,,60.772,,,64.782,,130.316,,96.86,149.111,87.963,138.084,,80.946,,122.846,87.084,,,,,153.84,,,,,,,100.82,,148.109,156.075,118.914,,,,,64.694,78.084,,85.893,75.764,99.001,219.592,,202.958,,,,,80.433,131.504,,,,,,166.835,,,,
3,,105.153,262.506,,,,104.275,,,,,,160.639,,,,115.279,,,59.519,,98.614,139.713,99.24,164.398,139.337,86.71,,155.752,,191.61,146.687,,232.508,,,109.169,62.615,,,,,,170.845,,123.43,205.465,100.287,105.806,111.294,71.656,,76.673,159.744,,152.28,74.478,107.625,95.617,,245.209,122.982,,,,79.179,120.336,,92.229,154.718,147.517,,142.876,,,,138.611
4,,138.782,134.641,,,,181.822,,,,,130.834,167.531,,226.298,,90.344,,,55.885,,114.151,144.726,125.554,145.227,70.546,80.445,,84.329,,198.762,149.072,,203.335,,101.389,138.531,71.399,,,,,121.736,137.541,,110.133,187.12,112.485,105.649,96.367,92.196,128.478,104.52,82.976,,84.607,80.907,96.367,136.398,,263.065,119.461,,,,93.358,132.759,,83.696,114.941,188.787,,155.922,112.143,168.09,,119.795
5,,160.365,164.38,,,,188.975,173.289,128.995,,,101.606,171.791,,256.997,125.679,109.014,178.933,74.18,113.776,,119.038,138.46,104.378,235.445,98.113,124.426,,136.455,,235.528,180.191,150.452,206.101,,70.52,158.859,120.085,,,110.638,128.827,115.59,174.765,,120.074,222.995,84.105,98.687,81.408,104.081,144.503,99.126,92.321,148.454,73.349,78.398,121.517,123.724,,250.868,103.239,,193.994,,121.466,126.108,,99.632,102.267,148.27,,154.291,138.611,180.383,102.61,144.758
6,,208.801,159.737,,,,84.449,208.424,126.234,,112.807,81.16,166.278,,149.863,133.824,137.082,96.609,97.486,97.987,,124.552,182.317,163.27,136.205,67.789,159.135,,102.749,,216.58,224.235,131.881,190.509,167.748,64.372,99.757,94.487,,,101.983,156.173,131.05,143.75,,131.426,212.835,114.775,132.681,79.966,114.179,120.827,157.799,99.095,139.893,164.228,71.091,131.52,186.465,,298.652,164.101,,164.882,,146.311,310.189,,100.761,115.568,151.782,128.45,78.4,166.208,195.937,106.373,129.705
7,,121.842,166.137,171.395,,,123.473,211.31,102.393,77.045,99.883,162.194,169.661,,204.746,89.216,139.337,84.956,95.982,99.742,,112.773,190.211,168.408,102.749,90.344,152.745,167.781,85.206,,221.6,180.442,106.157,180.449,155.928,113.56,142.547,87.711,137.904,157.479,151.657,230.433,147.89,159.022,218.417,158.709,145.851,127.538,134.311,68.959,68.833,125.938,157.486,85.203,165.514,113.112,74.321,109.287,178.56,,311.856,140.586,,187.72,84.7,155.722,216.831,138.908,145.558,153.212,178.626,138.235,89.94,160.187,165.455,118.666,148.521
8,,151.456,328.259,181.706,,155.299,158.483,232.14,114.439,107.035,195.75,98.972,191.714,92.85,165.025,185.073,87.337,200.611,163.772,87.337,153.622,111.019,136.455,187.955,129.188,67.288,189.208,293.335,105.881,178.933,240.296,222.478,103.773,132.539,154.167,91.852,154.091,108.541,134.265,122.47,171.602,250.253,147.764,114.586,258.305,171.002,125.343,86.206,145.067,61.809,68.896,127.036,89.154,172.256,160.026,99.659,178.841,137.322,121.466,,329.083,171.521,,206.793,120.211,159.612,218.839,151.079,144.052,154.216,240.343,171.853,118.164,140.744,162.445,136.604,167.462
9,,191.986,308.934,150.772,189.628,139.581,150.326,210.432,117.827,123.097,183.579,89.815,210.635,92.85,146.73,183.319,67.539,184.948,119.79,102.999,82.074,117.66,125.805,151.993,107.636,139.463,192.341,161.391,163.02,152.87,253.221,255.73,133.888,159.449,160.329,114.815,227.497,101.138,142.17,115.317,193.554,250.378,164.259,267.023,152.155,158.991,115.276,108.722,157.548,124.151,129.012,128.353,84.262,167.332,161.468,114.273,172.319,174.702,116.321,131.653,692.495,276.646,,146.687,115.066,182.073,212.565,162.623,136.523,142.923,231.06,222.405,130.959,153.915,213.75,65.103,220.649
10,185.837,244.563,290.74,191.64,260.299,102.988,170.654,191.861,144.554,126.359,212.816,104.241,144.726,101.746,148.61,177.68,145.853,170.914,108.889,103.25,75.558,129.188,141.342,167.28,122.171,115.279,145.603,155.878,129.313,161.892,280.074,199.515,89.343,158.317,176.425,96.871,271.29,101.389,168.647,180.693,192.049,289.766,191.228,267.211,130.172,134.154,112.517,194.427,166.015,82.631,94.579,197.939,71.248,177.273,141.336,108.848,179.594,147.137,140.037,150.084,925.758,153.539,103.239,143.048,120.085,218.463,231.262,195.374,148.695,167.894,223.032,188.285,97.969,145.636,245.988,102.108,223.534
